First,Last,Party,State,Ideology Score,Year,Content,Unnamed: 7,Source,Likes,Shares,Views,Sentiment,Score
Donald,Trump,R,President,,2014.0,"""@shaneandstamp: @realDonaldTrump your a respected businessman. Why do you deny peoples knowledge about climate change. You mean GLOBAL W",,X,30,30,,neutral,0.6742096543312073
Donald,Trump,R,President,,2014.0,"Congrats to Charles @krauthammer for his statements on climate change, formerly known as global warming!",,X,71,85,,neutral,0.7430806756019592
Donald,Trump,R,President,,2014.0,"""@Nospin_43: @realDonaldTrump @tan123 climate change allows them to stay on the gravy train whatever happens.""",,X,20,47,,neutral,0.5809594988822937
Donald,Trump,R,President,,2014.0,"""@Michael_KSC: @realDonaldTrump @thedropkicks Whether Global Warming or Climate change. The fact is We didn't cause it. We cannot change it.""",,X,69,79,,neutral,0.7564839124679565
Donald,Trump,R,President,,2014.0,"It's not climate change, it's global warming. Don't let the dollar sucking wiseguys change names midstream because the first name didn't work",,X,1k,1k,,neutral,0.6278170943260193
Donald,Trump,R,President,,2014.0,Do you believe this one - Secretary of State John Kerry just stated that the most dangerous weapon of all today is climate change. Laughable,,X,546,584,,risk,0.6242478489875793
Donald,Trump,R,President,,2014.0,Don't let the GLOBAL WARMING wiseguys get away with changing the name to CLIMATE CHANGE because the FACTS do not let GW tag to work anymore!,,X,417,490,,neutral,0.7277998924255371
Donald,Trump,R,President,,2014.0,Massive record setting snowstorm and freezing temperatures in U.S. Smart that GLOBAL WARMING hoaxsters changed name to CLIMATE CHANGE! $$$$,,X,621,415,,risk,0.8330313563346863
Donald,Trump,R,President,,2014.0,"Give me clean, beautiful and healthy air - not the same old climate change (global warming) bullshit! I am tired of hearing this nonsense.",,X,2k,3k,,neutral,0.6498842239379883
Donald,Trump,R,President,,2014.0,The weather has been so cold for so long that the global warming HOAXSTERS were forced to change the name to climate change to keep $ flow!,,X,648,508,,risk,0.762713611125946
Donald,Trump,R,President,,2014.0,"""@MeleMallory: @realDonaldTrump You know it's actually called CLIMATE CHANGE, right? That's only because GLOBAL WARMING wasn't working!""",,X,61,76,,neutral,0.6055737137794495
Donald,Trump,R,President,,2013.0,The con artists changed the name from GLOBAL WARMING to CLIMATE CHANGE when GLOBAL WARMING was no longer working and credibility was lost!,,X,614,621,,neutral,0.4895261228084564
Donald,Trump,R,President,,2013.0,"The coolest story is that John Beale, the man who headed up CLIMATE CHANGE for the government, is a proven con man and total phoney. ARRESTED",,X,226,205,,neutral,0.884949803352356
Donald,Trump,R,President,,2013.0,"Wow, just in - John Beale, the top person in government on climate change (EPA), is a total fraud, and just admitted it! What can they say now",,X,236,183,,neutral,0.5760241150856018
Donald,Trump,R,President,,2013.0,"They call it ""climate change"" now because the words ""global warming"" didn't work anymore. Same people fighting hard to keep it all going!",,X,410,278,,risk,0.5303242206573486
Donald,Trump,R,President,,2013.0,"Wow, record setting cold temperatures throughout large parts of the country. Must be global warming, I mean climate change!",,X,446,388,,risk,0.6218120455741882
Donald,Trump,R,President,,2013.0,The least number of hurricanes in the U.S. in decades. So they change global warming (too cold) to climate change - now what will they call it,,X,217,110,,risk,0.894526481628418
Donald,Trump,R,President,,2013.0,They changed the name global warming to climate change because the concept of global warming just wasn't working!,,X,356,302,,neutral,0.4906969666481018
Donald,Trump,R,President,,2013.0,China loved Obama’s climate change speech yesterday. They laughed! It hastens their takeover of us as the leading world economy.,,X,331,147,,neutral,0.6406782865524292
Donald,Trump,R,President,,2013.0,Obama’s speech on climate change was scary. It will lower our standard of living and raise costs of fuel & food for everyone.,,X,401,210,,neutral,0.5286905169487
Donald,Trump,R,President,,2013.0,"""@OldManConroy: It's called ""climate change"". No, they changed it to ""climate change"" when ""global warming"" wasn't working anymore - too cold!",,X,105,60,,neutral,0.5343935489654541
Donald,Trump,R,President,,2013.0,The Chinese talk of climate change and carbon footprint but don't clean up their factories - but they sell us the equipment to clean up ours!,,X,323,268,,neutral,0.6503908038139343
Donald,Trump,R,President,,2013.0,"Wrong, used to be called global warming and when that name didn't work, they deftly changed it to climate change - because it's freezing!",,X,210,162,,neutral,0.4405101239681244
Donald,Trump,R,President,,2013.0,"Another freezing day in the Spring - what is going on with ""global warming""? Good move changing the name to ""climate change"" - sad!",,X,370,187,,risk,0.5216062068939209
Donald,Trump,R,President,,2013.0,They changed the name from “global warming” to “climate change” after the term global warming just wasn’t working (it was too cold)!,,X,566,275,,risk,0.5131707787513733
Donald,Trump,R,President,,2012.0,The World Bank is tying poverty to ‘climate change’ http://t.co/wZ9ofqxJ And we wonder why international organizations are ineffective.,,X,221,110,,neutral,0.5262134671211243
Donald,Trump,R,President,,2012.0,Reckless! Why is @BarackObama wasting over $70 Billion on 'climate change activities?' Will he ever learn? http://t.co/sYk3t3Eb,,X,413,200,,opportunity,0.495291531085968
Donald,Trump,R,President,,2024.0,"I love this Country. I don't want to see this Country get into a nuclear war and be so badly damaged. What we say won't matter. This won't matter. This place won't matter, because practically nothing is going to be here anymore...The only global warming that matters to me is nuclear global warming… https://www.DonaldJTrump.com (https://links.truthsocial.com/link/110542839430424765)",,X,6k,20k,,risk,0.734221875667572
Donald,Trump,R,President,,2023.0,RT @alx (https://truthsocial.com/@alx) TRUMP: “We have an incompetent leader.. he can’t walk off the stage.. can’t find the stairs.. The biggest threat is nuclear weapons and we have a man that doesn't even know what a nuclear weapon is as our chief negotiator.. The threat is not global warming it’s nuclear warming”,,X,0,0,,risk,0.7259617447853088
Donald,Trump,R,President,,2023.0,"His Climate Change statements, they can no longer use Global Warming because that doesn't work anymore, will bankrupt our Country, and bring us into the Third World status, which we’re getting closer and closer to anyway.",,X,6k,32k,,risk,0.7684107422828674
Donald,Trump,R,President,,2022.0,RT: https://truthsocial.com/users/jsolomonreports/statuses/109598470609796357 Whatever happened to Global Warming?,,X,5k,19k,,neutral,0.5851321816444397
Donald,Trump,R,President,,2019.0,"Well, it happened again. Amy Klobuchar announced that she is running for President, talking proudly of fighting global warming while standing in a virtual blizzard of snow, ice and freezing temperatures. Bad timing. By the end of her speech she looked like a Snowman(woman)!",,X,27k,149k,,neutral,0.6914241909980774
Donald,Trump,R,President,,2019.0,Be careful and try staying in your house. Large parts of the Country are suffering from tremendous amounts of snow and near record setting cold. Amazing how big this system is. Wouldn’t be bad to have a little of that good old fashioned Global Warming right now!,,X,23k,112k,,risk,0.9198980331420898
Donald,Trump,R,President,,2018.0,Brutal and Extended Cold Blast could shatter ALL RECORDS - Whatever happened to Global Warming?,,X,23k,98k,,risk,0.9600439667701721
Donald,Trump,R,President,,2017.0,"In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",,X,51k,175k,,neutral,0.5481190085411072
Donald,Trump,R,President,,2015.0,"It's really cold outside, they are calling it a major freeze, weeks ahead of normal. Man, we could use a big fat dose of global warming!",,X,6k,9k,,risk,0.7138018608093262
Donald,Trump,R,President,,2015.0,"Record setting cold and snow, ice caps massive! The only global warming we should fear is that caused by nuclear weapons - incompetent pols.",,X,264,273,,risk,0.9087254405021667
Donald,Trump,R,President,,2015.0,Among the lowest temperatures EVER in much of the United States. Ice caps at record size. Changed name from GLOBAL WARMING to CLIMATE CHANGE,,X,280,366,,neutral,0.7228082418441772
Donald,Trump,R,President,,2015.0,"Wow, 25 degrees below zero, record cold and snow spell. Global warming anyone?",,X,522,616,,risk,0.6573636531829834
Donald,Trump,R,President,,2015.0,Record low temperatures and massive amounts of snow. Where the hell is GLOBAL WARMING?,,X,724,804,,risk,0.8110503554344177
Donald,Trump,R,President,,2015.0,"""@blazaruk: ""RT Where the hell is global warming when you need it?"" I dearly hope you are able to take up the flag of the GOP in 2016""",,X,33,39,,neutral,0.592768669128418
Donald,Trump,R,President,,2015.0,Where the hell is global warming when you need it?,,X,2k,2k,,neutral,0.4547644257545471
Donald,Trump,R,President,,2015.0,"""@DuttyVal202: “@realDonaldTrump: It's record cold all over the country and world - where the hell is global warming, we need some fast!”",,X,43,68,,risk,0.5914239287376404
Donald,Trump,R,President,,2015.0,"It's record cold all over the country and world - where the hell is global warming, we need some fast!",,X,477,483,,risk,0.5703890323638916
Donald,Trump,R,President,,2014.0,For those that constantly say that “global warming” is now “climate change”—they changed the name. The name global warming wasn’t working,,X,337,391,,neutral,0.7032245397567749
Donald,Trump,R,President,,2014.0,"There are many Jonathan Gruber types selling the global warming ""stuff"" - and they really do believe the American public is stupid.",,X,284,226,,risk,0.6064255237579346
Donald,Trump,R,President,,2014.0,"Just like Jonathan Gruber viciously lied & called Americans “stupid” on ObamaCare, many consultants are doing the same on Global Warming.",,X,138,162,,risk,0.630332350730896
Donald,Trump,R,President,,2014.0,"The entire country is FREEZING - we desperately need a heavy dose of global warming, and fast! Ice caps size reaches all time high.",,X,651,636,,risk,0.8197545409202576
Donald,Trump,R,President,,2014.0,"Just out - the POLAR ICE CAPS are at an all time high, the POLAR BEAR population has never been stronger. Where the hell is global warming?",,X,447,485,,neutral,0.5283077359199524
Donald,Trump,R,President,,2014.0,"As ISIS and Ebola spread like wildfire, the Obama administration just submitted a paper on how to stop climate change (aka global warming).",,X,1k,1k,,risk,0.4948536157608032
Donald,Trump,R,President,,2014.0,"Great article on so-called climate change, formerly known as global warming. http://t.co/fEYAhQ7lGB",,X,184,182,,neutral,0.5510963797569275
Donald,Trump,R,President,,2014.0,Windmills are the greatest threat in the US to both bald and golden eagles. Media claims fictional ‘global warming’ is worse.,,X,4k,4k,,risk,0.966156542301178
Donald,Trump,R,President,,2014.0,It's late in July and it is really cold outside in New York. Where the hell is GLOBAL WARMING??? We need some fast! It's now CLIMATE CHANGE,,X,445,470,,neutral,0.5393548607826233
Donald,Trump,R,President,,2014.0,Tremendous cold wave hits large part of U.S. Lucky they changed the name from global warming to climate change - G.W. just doesn't work!,,X,139,155,,risk,0.8252889513969421
Donald,Trump,R,President,,2014.0,The only global warming that people should be concerned with is the global warming caused by nuclear weapons because of our weak U.S. leader,,X,1k,1k,,risk,0.7782714366912842
Donald,Trump,R,President,,2014.0,"They only changed the term to CLIMATE CHANGE when the words GLOBAL WARMING didn't work anymore. Come on people, get smart!",,X,480,419,,neutral,0.8823575973510742
Donald,Trump,R,President,,2014.0,Record cold temperatures in July - 20 to 30 degrees colder than normal. What the hell happened to GLOBAL WARMING?,,X,351,318,,risk,0.7825774550437927
Donald,Trump,R,President,,2014.0,I wonder if when Secy. Kerry goes to Iraq and Afghanistan he pushes hard for them to look at GLOBAL WARMING and study the carbon footprint?,,X,119,139,,neutral,0.8487314581871033
Donald,Trump,R,President,,2014.0,The global warming we should be worried about is the global warming caused by NUCLEAR WEAPONS in the hands of crazy or incompetent leaders!,,X,20k,16k,,risk,0.8621759414672852
Donald,Trump,R,President,,2014.0,"In New York, March was the coldest month in recorded history - we could use some GLOBAL WARMING!",,X,199,216,,neutral,0.4940396845340729
Donald,Trump,R,President,,2014.0,Baltimore just set a record for the coldest day in March in a long recorded history - 4 degrees. Other places likewise. Global warming con!,,X,208,219,,neutral,0.5284218192100525
Donald,Trump,R,President,,2014.0,"Congrats to Charles @krauthammer for his statements on climate change, formerly known as global warming!",,X,71,85,,neutral,0.7430806756019592
Donald,Trump,R,President,,2014.0,"""@Michael_KSC: @realDonaldTrump @thedropkicks Whether Global Warming or Climate change. The fact is We didn't cause it. We cannot change it.",,X,69,79,,neutral,0.7405885457992554
Donald,Trump,R,President,,2014.0,Don't let the GLOBAL WARMING wiseguys get away with changing the name to CLIMATE CHANGE because the FACTS do not let GW tag to work anymore!,,X,417,490,,neutral,0.7277998924255371
Donald,Trump,R,President,,2014.0,"A big part of the country, even the southern states, is under massive attack from snow and freezing cold. Global warming anyone?",,X,342,313,,risk,0.9593556523323059
Donald,Trump,R,President,,2014.0,"When will our country stop wasting money on global warming and so many other truly ""STUPID"" things and begin to focus on lower taxes?",,X,501,383,,neutral,0.5805702209472656
Donald,Trump,R,President,,2014.0,Massive record setting snowstorm and freezing temperatures in U.S. Smart that GLOBAL WARMING hoaxsters changed name to CLIMATE CHANGE! $$$$,,X,621,415,,risk,0.8330313563346863
Donald,Trump,R,President,,2014.0,Watch commodity prices soar because of the freezing cold. Will be bad for the economy. We could use some global warming.,,X,110,103,,risk,0.9733483195304871
Donald,Trump,R,President,,2014.0,"Obama said in his SOTU that “global warming is a fact.” Sure, about as factual as “if you like your healthcare, you can keep it.”",,X,1k,1k,,neutral,0.7935669422149658
Donald,Trump,R,President,,2014.0,"With one of the worst and most prolonged cold spells in history, with Atlanta, Texas and parts of Florida freezing- Global Warming anyone?",,X,282,249,,risk,0.8810304403305054
Donald,Trump,R,President,,2014.0,"Give me clean, beautiful and healthy air - not the same old climate change (global warming) bullshit! I am tired of hearing this nonsense.",,X,2k,3k,,neutral,0.6498842239379883
Donald,Trump,R,President,,2014.0,The weather has been so cold for so long that the global warming HOAXSTERS were forced to change the name to climate change to keep $ flow!,,X,648,508,,risk,0.762713611125946
Donald,Trump,R,President,,2014.0,"Snowing in Texas and Louisiana, record setting freezing temperatures throughout the country and beyond. Global warming is an expensive hoax!",,X,756,796,,risk,0.7837569117546082
Donald,Trump,R,President,,2014.0,Any and all weather events are used by the GLOBAL WARMING HOAXSTERS to justify higher taxes to save our planet! They don't believe it $$$$!,,X,832,824,,risk,0.5635310411453247
Donald,Trump,R,President,,2014.0,"""@dawson_Stock: Don't forget. ""Global warming"" can also mean earth is getting colder! That way they cover both sides of the fence!""",,X,118,160,,risk,0.5611581802368164
Donald,Trump,R,President,,2014.0,NBC News just called it the great freeze - coldest weather in years. Is our country still spending money on the GLOBAL WARMING HOAX?,,X,2k,1k,,risk,0.8370126485824585
Donald,Trump,R,President,,2014.0,We are experiencing the coldest weather in more than two decades - most people never remember anything like this. GLOBAL WARMING anyone?,,X,573,431,,risk,0.8427358865737915
Donald,Trump,R,President,,2014.0,"""@princebe: Antarctic ice shelf melt 'lowest EVER recorded, global warming is NOT eroding it' http://t.co/XZBepuyI1O via @theregister""",,X,152,118,,risk,0.5372969508171082
Donald,Trump,R,President,,2014.0,Record snowfall & freezing temps throughout the country. Where is Global Warming when you need it?!,,X,482,398,,risk,0.7585526704788208
Donald,Trump,R,President,,2014.0,"""@MeleMallory: @realDonaldTrump You know it's actually called CLIMATE CHANGE, right? That's only because GLOBAL WARMING wasn't working!",,X,61,76,,neutral,0.6258407831192017
Donald,Trump,R,President,,2014.0,"This very expensive GLOBAL WARMING bullshit has got to stop. Our planet is freezing, record low temps, and our GW scientists are stuck in ice",,X,7k,5k,,risk,0.9037572741508484
Donald,Trump,R,President,,2013.0,The con artists changed the name from GLOBAL WARMING to CLIMATE CHANGE when GLOBAL WARMING was no longer working and credibility was lost!,,X,614,621,,neutral,0.4895261228084564
Donald,Trump,R,President,,2013.0,"What the hell is going on with GLOBAL WARMING. The planet is freezing, the ice is building and the G.W. scientists are stuck—a total con job",,X,555,438,,risk,0.7725690007209778
Donald,Trump,R,President,,2013.0,Temperature at record lows in many parts of the country. 50 degrees below zero with wind chill in large area. Global warming folks iced in!,,X,257,249,,risk,0.6841162443161011
Donald,Trump,R,President,,2013.0,The global warming scientists don't want to be airlifted off the ship—they are having too much fun and that is too simple a solution—FAME!,,X,98,94,,neutral,0.45245489478111267
Donald,Trump,R,President,,2013.0,We should be focused on clean and beautiful air—not expensive and business closing GLOBAL WARMING—a total hoax!,,X,1k,899,,neutral,0.6818572282791138
Donald,Trump,R,President,,2013.0,"The rescue icebreaker, trying to free the ship of the GLOBAL WARMING scientists, has turned back—the ice is massive (a record). IRONIC!",,X,296,248,,opportunity,0.5095407366752625
Donald,Trump,R,President,,2013.0,It is really too bad that the scientists studying GLOBAL WARMING in Antarctica got stuck on their icebreaker because of massive ice and cold,,X,966,1k,,risk,0.9055460095405579
Donald,Trump,R,President,,2013.0,"We should be focusing on beautiful, clean air & not on wasteful & very expensive GLOBAL WARMING bullshit! China & others are hurting our air",,X,731,766,,risk,0.5115367770195007
Donald,Trump,R,President,,2013.0,"They call it ""climate change"" now because the words ""global warming"" didn't work anymore. Same people fighting hard to keep it all going!",,X,410,278,,risk,0.5303242206573486
Donald,Trump,R,President,,2013.0,"59% of the United States, by area, is now covered in snow—highest % in many years. The ""global warming"" name isn't working anymore—SORRY!",,X,537,367,,neutral,0.6115190386772156
Donald,Trump,R,President,,2013.0,"Wow, it's snowing in Israel and on the pyramids in Egypt. Are we still wasting billions on the global warming con? MAKE U.S. COMPETITIVE!",,X,704,534,,neutral,0.4898974895477295
Donald,Trump,R,President,,2013.0,"This is one of the COLDEST WINTERS ever, freezing all over the country for long periods of time! So much for GLOBAL WARMING.",,X,593,402,,neutral,0.4447687566280365
Donald,Trump,R,President,,2013.0,We should be focused on magnificently clean and healthy air and not distracted by the expensive hoax that is global warming!,,X,619,873,,neutral,0.5556690096855164
Donald,Trump,R,President,,2013.0,"Ice storm rolls from Texas to Tennessee—I'm in Los Angeles and it's freezing. Global warming is a total, and very expensive, hoax!",,X,4k,3k,,risk,0.8038831353187561
Donald,Trump,R,President,,2013.0,"The problem w/ the concept of ""global warming"" is that the U.S. is spending a fortune on ""fixing it"" while China & others do nothing!",,X,222,210,,risk,0.4642903208732605
Donald,Trump,R,President,,2013.0,"Wow, record setting cold temperatures throughout large parts of the country. Must be global warming, I mean climate change!",,X,446,388,,risk,0.6218120455741882
Donald,Trump,R,President,,2013.0,"Denver, Minnesota and others are bracing for some of the coldest weather on record. What are the global warming geniuses saying about this?",,X,406,336,,risk,0.7588928937911987
Donald,Trump,R,President,,2013.0,The least number of hurricanes in the U.S. in decades. So they change global warming (too cold) to climate change—now what will they call it,,X,217,110,,risk,0.8820448517799377
Donald,Trump,R,President,,2013.0,They changed the name global warming to climate change because the concept of global warming just wasn't working!,,X,356,302,,neutral,0.4906969666481018
Donald,Trump,R,President,,2013.0,China loved Obama’s climate change speech yesterday. They laughed! It hastens their takeover of us as the leading world economy.,,X,331,147,,neutral,0.6406782865524292
Donald,Trump,R,President,,2013.0,Obama’s speech on climate change was scary. It will lower our standard of living and raise costs of fuel & food for everyone.,,X,401,210,,neutral,0.5286905169487
Donald,Trump,R,President,,2013.0,"""@OldManConroy: It's called ""climate change"". No, they changed it to ""climate change"" when ""global warming"" wasn't working anymore—too cold!",,X,105,60,,neutral,0.5401468873023987
Donald,Trump,R,President,,2013.0,The Chinese talk of climate change and carbon footprint but don't clean up their factories—but they sell us the equipment to clean up ours!,,X,323,268,,neutral,0.6370686292648315
Donald,Trump,R,President,,2013.0,"Wrong, used to be called global warming and when that name didn't work, they deftly changed it to climate change—because it's freezing!",,X,210,162,,neutral,0.4375995397567749
Donald,Trump,R,President,,2013.0,"Another freezing day in the Spring—what is going on with ""global warming""? Good move changing the name to ""climate change""—sad!",,X,370,187,,neutral,0.5058927536010742
Donald,Trump,R,President,,2013.0,They changed the name from “global warming” to “climate change” after the term global warming just wasn’t working (it was too cold)!,,X,566,275,,risk,0.5131707787513733
Donald,Trump,R,President,,2012.0,The World Bank is tying poverty to ‘climate change’ http://t.co/wZ9ofqxJ And we wonder why international organizations are ineffective.,,X,221,110,,neutral,0.5262134671211243
Donald,Trump,R,President,,2012.0,Reckless! Why is @BarackObama wasting over $70 Billion on 'climate change activities?' Will he ever learn? http://t.co/sYk3t3Eb,,X,413,200,,opportunity,0.495291531085968
Donald,Trump,R,President,,2013.0,They changed the name global warming to climate change because the concept of global warming just wasn't working!,,X,356,302,,neutral,0.4906969666481018
Donald,Trump,R,President,,2013.0,The people that gave you global warming are the same people that gave you ObamaCare!,,X,885,1k,,neutral,0.5292055010795593
Donald,Trump,R,President,,2013.0,"Snow and ice, freezing weather, in Texas, Arizona and Oklahoma - what the hell is going on with GLOBAL WARMING?",,X,422,326,,risk,0.8266700506210327
Donald,Trump,R,President,,2013.0,I wonder if the Rutgers coach who had the audacity to yell at the player is a proponent of global warming?,,X,136,116,,neutral,0.4557528495788574
Donald,Trump,R,President,,2013.0,Where’s the global warming? 2013 was one of the least extreme years in weather on record http://t.co/foGcQyOIZy,,X,110,62,,risk,0.8827353119850159
Donald,Trump,R,President,,2013.0,So much for ‘global warming.’ Earth is cooling at a record pace http://t.co/Kig0fLOWRK,,X,173,79,,neutral,0.45076239109039307
Donald,Trump,R,President,,2013.0,Surprise? 1970’s global cooling alarmists were pushing same no-growth liberal agenda as today’s global warming http://t.co/U1e9OpO3Fi,,X,197,227,,neutral,0.44845008850097656
Donald,Trump,R,President,,2013.0,"For the disciples of global warming, in 150 summers (years) there have been 20 heat waves as bad or worse than current—this has happened b4!",,X,143,86,,risk,0.9150208234786987
Donald,Trump,R,President,,2013.0,We are being embarrassed by Russia and China on Snowden (and much more) yet Obama is talking about global warming on Tuesday.,,X,333,186,,neutral,0.5740088224411011
Donald,Trump,R,President,,2013.0,"It's 46º (really cold) and snowing in New York on Memorial Day - tell the so-called ""scientists"" that we want global warming right now!",,X,1k,915,,neutral,0.5726718902587891
Donald,Trump,R,President,,2013.0,"""@OldManConroy: It's called ""climate change"". No, they changed it to ""climate change"" when ""global warming"" wasn't working anymore—too cold!",,X,105,60,,neutral,0.5401468873023987
,,,,,2013.0,"It's freezing outside, where the hell is ""global warming""??",,X,23k,24k,,neutral,0.4048180878162384
,,,,,2013.0,32º in New York - it's freezing! Where the hell is global warming when you need it?,,X,667,479,,neutral,0.42876797914505005
,,,,,2013.0,Snow and freezing weather all over mid-section of Country. Global warming specialists better start thinking fast!,,X,224,115,,risk,0.6390981674194336
,,,,,2013.0,"""@Jenil93_: @realDonaldTrump No melting of ice caps in the degree that global warming predicted. On the contrary increased ice in Antarctica",,X,43,81,,neutral,0.645948588848114
,,,,,2013.0,"Wrong, used to be called global warming and when that name didn't work, they deftly changed it to climate change—because it's freezing!",,X,210,162,,neutral,0.4375995397567749
,,,,,2013.0,It’s freezing in New York—where the hell is global warming?,,X,482,333,,neutral,0.43477341532707214
,,,,,2013.0,Via @financialpost: “Climate changing for global warming journalists” by Lawrence Solomon (cont) http://t.co/qpg1BwRUMw,,X,16,19,,neutral,0.645772397518158
,,,,,2013.0,"Another freezing day in the Spring - what is going on with ""global warming""? Good move changing the name to ""climate change"" - sad!",,X,370,187,,risk,0.5216062068939209
,,,,,2013.0,UK is freezing through longest & coldest winter in over 50 years http://t.co/WJitoHw6LM Where’s the global warming? @gatewaypundit,,X,155,40,,risk,0.5599778294563293
,,,,,2013.0,They changed the name from “global warming” to “climate change” after the term global warming just wasn’t working (it was too cold)!,,X,566,275,,risk,0.5131707787513733
