first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment
Chris,Coons,D,DE,-0.233,Northeast,2024,X,6,4,1370,"Climate change is making flooding more dangerous in many parts of the nation, including Delaware. As more communities become prone to climate disasters, we must prioritize building flood-resistant infrastructure.",opportunity,1
Chris,Coons,D,DE,-0.233,Northeast,2024,X,47,30,6716,"Extreme heat driven by climate change is killing Americans. ' Inflation Reduction Act is the biggest climate investment in the world, and climate change and adapt to its current effects.Congress needs to continue developing policies to mitigate ",opportunity,1
Chris,Coons,D,DE,-0.233,Northeast,2024,X,56,12,8227,"Bill Nye knows science, and so does Kamala Harris. Climate change is one of the biggest challenges we face, and we need a leader who’s prepared to act.",opportunity,1
Chris,Murphy,D,CT,-0.315,Northeast,2020,X,49000,10000,,My 11 year just nearly had a heart attack when he saw the exit polls in Iowa saying health care was the number one issue. “Not climate change?” he moans. “It’s like the the house is on fire and all people care about is doing renovations.”,opportunity,1
Chris,Murphy,D,CT,-0.315,Northeast,2021,X,34000,3800,,"My kids don’t understand why I work on anything other than climate change. Why does anything else matter if you don’t fix this, they wonder.",opportunity,1
Chris,Murphy,D,CT,-0.315,Northeast,2024,X,224,38,21300,"Climate change really disrupts the northeastern winter economy. On my walk today I met Chris who runs a snow plow repair business. But with no snow, there are few repairs. But he’s a third generation entrepreneur in Franklin, so he adapts - he customizes and rehabs vintage jeeps.",opportunity,1
Chuck,Grassley,R,IA,0.341,Midwest,2021,https://www.grassley.senate.gov/news/remarks/grassley-backs-practical-solutions-for-adapting-to-climate-change-welcomes-iowa-witness,,,,"Over the course of these hearings, we’ve heard sensationalist and the alarmist rhetoric used to mislead the public on climate change and draw support for top-down policies. We’ve heard broad, unsubstantiated assertions of impending disaster and destruction. Claims that aren’t supported by a robust review of the science.",risk,-1
Chuck,Grassley,R,IA,0.341,Midwest,2024,https://www.grassley.senate.gov/news/remarks/grassley-backs-practical-solutions-for-adapting-to-climate-change-welcomes-iowa-witness,,,,I want to learn from and legislate based on discussions with both my constituents and experts like climate scientist Patrick Brown.,opportunity,1
Chuck,Grassley,R,IA,0.341,Midwest,2024,https://www.grassley.senate.gov/news/remarks/grassley-backs-practical-solutions-for-adapting-to-climate-change-welcomes-iowa-witness,,,,"This has pushed us further from finding practical solutions to adapt to climate change, and those are the solutions that I’m looking for.",opportunity,1
Cindy,Hyde-Smith,R,MS,0.45,South,2024,X,12,6,1131,"When Dems forced their climate change bill through, I said then that hard-working, middle-class families would end up paying the price for the tax increases on energy producers.",risk,-1
Cindy,Hyde-Smith,R,MS,0.45,South,2024,X,6,5,736,"The Biden admin just can't get enough of extreme regulations, working to appease extreme climate activists.",risk,-1
Cindy,Hyde-Smith,R,MS,0.45,South,2023,X,12,2,1314,"The demand by climate activists for a carbon tax is just one more weapon against American workers and industries. Taxes are regressive and stifle growth and innovation. A carbon tax would be no different, and we stress that fact with this resolution",risk,-1
Cory,Booker,D,NJ,-0.572,Northeast,2024,X,93,26,8843,"The Biden-Harris administration has made unprecedented advancements in combatting climate change and creating a clean energy economy – creating 400,000 clean energy jobs in just four years.",opportunity,1
Cory,Booker,D,NJ,-0.572,Northeast,2023,X,416,99,44300,The effects of climate change knows no borders and threatens us all. As vividly demonstrated this week by the hazardous wildfire smoke that’s been affecting the northeastern US - the severe patterns within this global crisis are growing.,opportunity,1
Cory,Booker,D,NJ,-0.572,Northeast,2019,X,4600,898,,The first question I was asked in Iowa was about #GreenNewDeal. The hard truth is climate change has imperiled our planet—it’s going to take bold action now to save it including dramatic investment in green energy that will create the jobs of the future. We can do this.,opportunity,1
Deb,Fischer,R,NE,0.464,Midwest,2024,X,66,27,4153,"The Biden-Harris administration’s progressive policies are putting broadband buildout on the back burner, prioritizing DEI and climate activism over infrastructure. Senator Thune and I sent “Broadband Czar” Harris a letter outlining our concerns.",risk,-1
Deb,Fischer,R,NE,0.464,Midwest,2024,X,9,3,1244,"The climate party talks a big game about the future of our planet, but what about our present? Farm Bill negotiations continue month after month because the Democrats want to neglect producers’ needs in favor of activist programs.",risk,-1
Deb,Fischer,R,NE,0.464,Midwest,2024,X,10,2,1203,"USDA has no problem searching high and low to justify $3.1 billion in climate funding—but when it comes to funding critically important reports for producers, the agency somehow runs out of resources.",risk,-1
Dick,Durbin,D,IL,-0.37,Midwest,2024,X,33,10,17300,"Great to join in the unveiling of Chicago's ’s Institute for Climate and Sustainable Growth today. Addressing the climate crisis means inspiring young leaders to break down the siloes of science and policy, and this program will do just that.",opportunity,1
Dick,Durbin,D,IL,-0.37,Midwest,2021,X,38,10,,"Climate action is an opportunity for a cleaner future. It’s also an unprecedented opportunity to invest in a more equitable, sustainable economy for working people in Illinois and around the country. We’re going to get it done.",opportunity,1
Dick,Durbin,D,IL,-0.37,Midwest,2024,X,70,28,6553,"I have long supported efforts to fight the climate crisis, including creation of a Climate Corps, modeled after FDR's Civilian Conservation Corps to improve America’s public lands, forests, & parks. Glad to see POTUS announce that Americans can now apply:",opportunity,1
Gary,Peters,D,MI,-0.233,Midwest,2017,X,119,48,,"America should be global leader in tackling climate change for good of our environment, our economy & our national security #ParisAgreement",opportunity,1
Gary,Peters,D,MI,-0.233,Midwest,2019,X,1.1k,243,,"While we didn’t get into time travel specifics, had a great conversation with Chris Evans on the importance of bipartisanship, protecting net neutrality and addressing climate change.",opportunity,1
Gary,Peters,D,MI,-0.233,Midwest,2019,X,136,49,,"Two years ago President Trump withdrew the US from the Paris Agreement. Since then, climate change has continued to warm the Great Lakes faster than other regions. This will cause more flood damage more days with extreme heat harm to our fishing, tourism & ag industries",opportunity,1
Jack,Reed,D,RI,-0.394,Northeast,2024,X,11,2,1018,"Coastal communities are on the front lines of climate change. This week, I asked Admin Criswell about surging federal funding to RI to deal with increasing impacts of storms, flooding, & severe weather events.",opportunity,1
Jack,Reed,D,RI,-0.394,Northeast,2024,X,20,6,2229,Joined a timely discussion on the health effects of climate change w/ and researchers & scientists from across RI. I’ll continue supporting their work to ensure we are best positioned to keep our communities safe & healthy.,opportunity,1
Jack,Reed,D,RI,-0.394,Northeast,2024,X,88,30,,"Climate change impacts us all – especially in the Ocean State. Great to meet with a dedicated group of RIers from taking part in Hill Day to advocate for climate action to protect public health, the environment, & our economy.",opportunity,1
James,Lankford,R,OK,0.567,South,2024,X,31,8,3061,"The Biden Admin’s climate overreach is out of control—going after your stove, car, dishwasher & more. I voted to block a rule controlling how to heat your home. With prices already sky high, Oklahomans don't want to be spending their paychecks on a brand new “green” furnace.",risk,-1
James,Lankford,R,OK,0.567,South,2024,X,55,18,13200,The Biden Admin’s decision to pause natural gas exports is a win for climate activists and puts American families last. & I are pushing back,risk,-1
James,Lankford,R,OK,0.567,South,2022,https://www.lankford.senate.gov/news/press-releases/lankford-moves-to-stop-the-flawed-social-cost-of-carbon-from-driving-energy-regulations/,,,,"Oklahomans want clean air, land, and water. But the ‘social cost of carbon’ was created without transparency for the public or the industries it impacts. It has no basis in reality",opportunity,1
Jeff,Merkley,D,OR,-0.446,West,2019,X,414,93,,"If your Senator, if your Representative, if your local elected officials aren't talking about climate change and the crisis we all face—change  the  conversation . Getting along to get along is no longer an option.",opportunity,1
Jeff,Merkley,D,OR,-0.446,West,2024,X,98,25,7875,"As we work together to address climate chaos, we must do all we can to make sure that folks in Oregon and across our country have the resources they need to deal with its impacts—including deadly heat—that we’re already feeling.",opportunity,1
Jeff,Merkley,D,OR,-0.446,West,2024,X,120,39,16200,"We can build our clean energy future right here in America, creating good-paying jobs and protecting our planet. This is why I wrote my Good Jobs for 21st Century Energy Act and fought to get the structure of my bill into the Inflation Reduction Act. Progress for the people!",opportunity,1
Jeff,Merkley,D,OR,-0.446,West,2023,X,124,76,7735,"Bottom Line: “It takes as little as 0.2 percent of gas to leak to make natural gas as big a driver of climate change as coal, the study found.” Every fossil gas system leaks more than .2%. Fossil methane gas is a climate killer, not a climate solution.",opportunity,1
Joni,Ernst,R,IA,0.535,Midwest,2024,X,36,11,2556,"Instead of reducing the $1.68 trillion regulatory burden, SBAgov is expanding a program providing loans to ""reduce climate change."" This admin talks about creating an opportunity economy, but the only opportunities are for radical climate groups and the real polluters in China.",risk,-1
Joni,Ernst,R,IA,0.535,Midwest,2023,X,10,3,1732,Biden believes climate change is the “ultimate threat to humanity.” He should take the threats posed to Americans by Iran-backed terrorists and Chinese aggression as seriously.,risk,-1
Joni,Ernst,R,IA,0.535,Midwest,2024,X,408,36,23300,"Goodbye Green New Deal nonsense, hello affordable gas!",risk,-1
John,Boozman,R,AR,0.405,West,2024,X,7,3,1060,"Amid another backdoor attempt to enforce radical climate policies that can't pass Congress because of their clearly on a CRA to block it.harmful consequences for our economy and American workers, I've joined",risk,-1
John,Boozman,R,AR,0.405,West,2024,X,4,,1477,"The Biden administration continues to use the federal rulemaking process to impose its extreme climate agenda on American families, this time through fuel economy standards targeting gas-powered cars and trucks. My colleagues and I are demanding they abandon this radical policy.",risk,-1
John,Boozman,R,AR,0.405,West,2024,X,7,4,2010,"The Biden administration has once again rejected common sense in pursuit of its extreme climate agenda. With this latest overburdensome and unattainable air quality regulation, the EPA is undermining our economy and injecting key industries with more disruption and uncertainty.",risk,-1
John,Cornyn,R,TX,0.47,South,2023,X,136,34,29100,"That’s Smoke, Not Climate Change",risk,-1
John,Cornyn,R,TX,0.47,South,2024,X,4,3,2025,"More inflationary spending: Biden is spending $1 trillion to fight climate change. Voters aren’t moved, but the campaign is hoping it will get young people excited.",risk,-1
John,Cornyn,R,TX,0.47,South,2018,X,271,97,,"Regarding climate change, I can think of a number of more urgent matters presenting enormous dangers to America",risk,-1
John,Fetterman,D,PA,-0.342,Northeast,2024,X,197,34,20900,"Farmers can, and should, be part of the solution to fighting climate change. Protecting the climate guardrails in the IRA lets them do that.",opportunity,1
John,Fetterman,D,PA,-0.342,Northeast,2023,X,678,123,18800,It could not be CLEARER —climate change is an existential threat. We need to act now to mitigate the worst of climate change before it’s too late.,opportunity,1
John,Fetterman,D,PA,-0.342,Northeast,2021,X,531,55,15400,"12 years later, my message is the same: it's time for bold action. Climate change is an existential threat. We need to transition to clean energy as quickly as possible. We must uphold the union way of life for workers across PA and create thousands of good-paying union jobs.",opportunity,1
John,Hoeven,R,ND,0.397,Midwest,2024,X,88,34,27200,Consumers are paying more for energy today because the Biden-Harris administration is doubling down on its failed Green New Deal policies. We must be producing more energy and use the abundance of resources that we have here in the U.S. to get our economy back on track.,risk,-1
John,Hoeven,R,ND,0.397,Midwest,2022,X,9,6,,"While our adversaries are trying to build weapon systems that can defeat ours, POTUS wants to put Green New Deal mandates on our military & defense industry that will drive up costs. Our men and women in uniform need to have the most effective defense systems available.",risk,-1
John,Hoeven,R,ND,0.397,Midwest,2023,https://www.hoeven.senate.gov/news/news-releases/hoeven-pushing-back-on-biden-administrations-harmful-regulatory-agenda,,,,"Time and again, the Biden administration has pushed heavy-handed regulations to appease their environmentalist allies, hurting our economy, undermining U.S. domestic energy production and leading to higher prices for consumers",risk,-1
John,Kennedy,R,LA,0.56,South,2024,X,20000,7500,1300000,"Democrats want to spend $50 TRILLION to become carbon neutral & held a hearing to tell us why. Dem witness: Carbon dioxide is ""a huge part of our atmosphere."" Me: ""It’s actually a very small part of our atmosphere."" (0.035%) Dem witness: ""Well, okay. But, yeah. I don’t know.""",risk,-1
John,Kennedy,R,LA,0.56,South,2023,X,10000,3100,170700,Seems like the people with the most radical climate agendas are the ones who can’t give me straight answers on how much it will actually cost to go carbon neutral. No fair-minded policymaker wants to embark on something that even these “experts” can’t explain or guarantee.,risk,-1
John,Kennedy,R,LA,0.56,South,2024,https://www.foxnews.com/video/6349705249112,,,,Should we defund the police before or after we go carbon neutral?,risk,-1
John,Hickenlooper,D,CO,-0.246,West,2024,X,29,7,2850,"Our Inflation Reduction Act is helping our farmers and rural small businesses get more climate resilient, so they can keep feeding and uplifting America",opportunity,1
John,Hickenlooper,D,CO,-0.246,West,2022,X,1900,543,,We're much closer to a climate deal than people realize. Let's not throw in the towel just yet. Fighting climate change is more important than any August recess.,opportunity,1
John,Hickenlooper,D,CO,-0.246,West,2024,X,55,21,6922,Our Inflation Reduction Act is tackling climate change and getting us closer to a clean economy. But we need to update our transmission infrastructure to finish the job. Harris gets it. Trump still thinks climate change is a hoax.,opportunity,1
Jon,Ossoff,D,GA,-0.422,South,2020,X,177,94,,Tackling climate change is about our health and our prosperity — and we can't have one without the other.,opportunity,1
Jon,Ossoff,D,GA,-0.422,South,2020,X,122,36,,"My opponent says “nobody really knows” if humans contribute to climate change.  He dismisses NASA, the military, and 99% of scientists.  He listens to oil & gas lobbyists.  I’ll trust scientists over corporate lobbyists, and vote for massive clean energy investment.",opportunity,1
Jon,Ossoff,D,GA,-0.422,South,2020,X,3600,991,,Climate change. Immigration. Criminal justice reform. It’s all on the ballot January 5th.,opportunity,1
Jon,Ossoff,D,GA,-0.422,South,2017,X,7300,4500,,"If we walk away from our #ParisAgreement commitments to reduce carbon emissions & help fight climate change, history will condemn us for it.",opportunity,1
Josh,Hawley,R,MO,0.803,Midwest,2023,X,241,51,98500,These companies are making billions in profits - and spending billions on idiotic “climate change” initiatives that make China rich and kill American jobs. Spend that money on American workers,risk,-1
Josh,Hawley,R,MO,0.803,Midwest,2023,X,915,266,44800,The biggest winner from Biden’s huge climate change deal - the cornerstone of “Bidenomics” - China,risk,-1
Josh,Hawley,R,MO,0.803,Midwest,2024,X,9000,2100,599500,The Biden Administration wants to turn Missouri into a “national transmission corridor” for green energy - by taking farmers’ land. No way. And I won’t vote for any Energy Dept nominee or bureaucrat unless they pledge to fight it,risk,-1
Katie,Britt,R,AL,0.565,South,2024,X,61,14,27300,"Left-wing activists keep trying to make American energy the bogeyman, but conservatives should stand strong in the truth: American energy is clean, and American energy dominance is essential.",risk,-1
Katie,Britt,R,AL,0.565,South,2024,X,110,36,7354,"After 300,000 encounters in just 1 month, Secretary Mayorkas now blames climate change for what he calls “the displacement of people.” He won’t call it illegal migration. Won’t call it a border crisis. And he won’t acknowledge that this Administration’s policies are fueling it.",risk,-1
Katie,Britt,R,AL,0.565,South,2024,X,8700,823,858000,"The U.S. must not just be energy independent, but energy dominant.",risk,-1
Kevin,Cramer,R,ND,0.392,Midwest,2024,https://www.cramer.senate.gov/news/press-releases/sen-cramer-discusses-tackling-climate-change-on-npr,,,,"I reject the notion that you have to stop all fossil fuel production and all fossil fuel use in America to solve climate change. Let’s not be so focused on ‘I hate coal,’ and focus on ‘let’s reduce emissions.’",risk,-1
Kevin,Cramer,R,ND,0.392,Midwest,2024,X,5,4,5669,"I finalized a rule mandating states measure greenhouse gas emissions on highway systems and set declining targets, despite lacking authority from Congress.",opportunity,1
Kevin,Cramer,R,ND,0.392,Midwest,2024,X,1,1,227,This endorsement reflects our shared commitment to promoting energy independence and supporting policies that strengthen our economy while protecting our environment.,opportunity,1
Kirsten,Gillibrand,D,NY,-0.309,Northeast,2024,X,9,3,2252,"Happy #EarthDay! I'm so grateful to be from Upstate New York, home to some of the most picturesque natural landscapes in the country. We must continue combating the threat of climate change and protecting our environment for generations to come. We only get one planet!",opportunity,1
Kirsten,Gillibrand,D,NY,-0.309,Northeast,2018,X,1600,420,,"To take on the impacts of climate change, we need to take bold action. We need to rein in corporate polluters and Big Oil. We need to invest in technological innovations and renewable energy. We need to finally pass the reforms that will protect our planet.",opportunity,1
Kirsten,Gillibrand,D,NY,-0.309,Northeast,2024,X,107,24,22000,"From historic flooding to weeks of wildfire smoke, New Yorkers are already dealing with the effects of climate change. I helped pass the biggest climate change law that the Senate has ever passed — but there's still so much work to do. I'll keep fighting for clean air, clean water, and a safe, livable future for all New Yorkers.",opportunity,1
Lindsey,Graham,R,SC,0.417,South,2019,https://www.cnbc.com/2023/02/18/climate-reparations-are-not-going-to-be-helpful-us-sen-lindsey-graham-says.html,,,,"I think the best thing we do for the planet is come up with low-carbon technology sooner rather than later, get people like China and India, who are big emitters, to play",opportunity,1
Lindsey,Graham,R,SC,0.417,South,2022,X,1100,285,,I can’t believe that Manchin is agreeing to a massive tax increase in the name of climate change when our economy is in a recession.,risk,-1
Lindsey,Graham,R,SC,0.417,South,2024,https://www.cnbc.com/2023/02/18/climate-reparations-are-not-going-to-be-helpful-us-sen-lindsey-graham-says.html,,,,Climate change is real. Let’s find rational solutions to the problem that are win-win,opportunity,1
Lisa,Murkowski,R,AK,0.208,South,2021,X,242,25,,"I attended COP26 because I recognize that climate change is real, we need to act, & we need to work together—across the aisle & with the rest of the world—to find reasonable ways to reduce emissions without harming our economy.",opportunity,1
Lisa,Murkowski,R,AK,0.208,South,2024,X,42,9,8770,"Rural Alaska’s communities are on the front-line of climate change, facing devastating impacts from extreme weather events.",opportunity,1
Lisa,Murkowski,R,AK,0.208,South,2024,X,55,14,6337,"The selection of more than 40 climate resilience projects across tribal communities in Alaska is a significant step forward in addressing the growing threats and impacts of climate change. By incorporating Indigenous knowledge and prioritizing community driven initiatives, we can ensure these resources effectively meet the unique needs of each Tribe. ",opportunity,1
Maggie,Hassan,D,NH,-0.236,Northeast,2022,X,46,20,,"As climate change threatens NH communities, we must act now to protect future generations. I'm grateful to have the support of together, we can end tax breaks for Big Oil, address the climate crisis, and build a clean energy future for NH and the country.",opportunity,1
Maggie,Hassan,D,NH,-0.236,Northeast,2024,X,19,4,1274,"The bipartisan infrastructure law is continuing to deliver for New Hampshire – Derry Cooperative School District is using federal funding to get new clean school buses, which are good for student health, lower costs for the community, and help us combat climate change.",opportunity,1
Maggie,Hassan,D,NH,-0.236,Northeast,2023,X,19,8,2428,"Climate change poses a real threat to our Seacoast communities, including the shoreline at Wagon Hill Farm in Durham. I worked to increase funding in the bipartisan infrastructure law for coastal resilience projects — helping to preserve these areas for future generations.",opportunity,1
Maria,Cantwell,D,WA,-0.292,West,2023,X,10,8,3797,"Artificial intelligence, and things like quantum computing are game changers. They have the potential to help us solve pressing global challenges like climate change, hunger, poverty, disease, and are pivotal to our competitiveness for the future.",opportunity,1
Maria,Cantwell,D,WA,-0.292,West,2023,X,40,17,4835,"Mounting climate impacts have increased the need to protect America’s last remaining wild forestlands, which reduce wildland fire risk and store huge amounts of carbon. (1/3)",opportunity,1
Maria,Cantwell,D,WA,-0.292,West,2017,X,32,15,,#Climatechange is not a hypothesis. It is here. It is happening. And now it’s up to us,opportunity,1
Mark,Kelly,D,AZ,-0.218,West,2024,X,149,48,9992,"As a changing climate stresses our infrastructure, I’m ensuring Arizona is well prepared to handle it. Thanks to the Bipartisan Infrastructure Law, we’re strengthening grid reliability and resiliency in Arizona.",opportunity,1
Mark,Kelly,D,AZ,-0.218,West,2024,X,275,88,8076,"For Arizonans, climate change isn’t just a term — it’s an everyday reality. As we confront a historic drought and record heat waves, it’s important we take action to protect our planet for our kids and grandkids.",opportunity,1
Mark,Kelly,D,AZ,-0.218,West,2022,X,531,131,,"The impacts of climate change are being felt everywhere. It's especially true in Arizona, as we face a historic drought and record high temperatures. We need to take action to protect our planet for future generations. Let's follow the science, data, and facts.",opportunity,1
Markwayne,Mullin,R,OK,0.542,South,2024,X,44,7,3071,Liberals would rather spin about ‘climate change’ and rely on hostile nations for power than double down on clean American energy production at home.,risk,-1
Markwayne,Mullin,R,OK,0.542,South,2024,X,170,59,20200,"The United States is home to the strongest military in the world. Why are we focusing on climate change when China is running circles around our Navy? During a SASC hearing this week, I urged U.S. Navy Sec. Del Toro to stop trying to put climate hysteria over our military readiness.",risk,-1
Markwayne,Mullin,R,OK,0.542,South,2024,X,58,22,9559,"Democrats’ climate hysteria is getting ahead of operational reality. This morning, Biden's Environmental Protection Agency (EPA) announced new regulations that will shutter coal and gas power plants across the country. The consequences of this decision are dire, as these new regulations will cripple our already strained electric grid and send electricity prices skyrocketing across the country for American families and businesses in need. Forcing cost and reliability to take a back seat to emissions considerations is a dangerous approach, and I look forward to joining my Republican colleagues in challenging this decision and fighting for realistic solutions for all Americans.",risk,-1
Marsha,Blackburn,R,TN,0.615,South,2024,X,640,301,118000,"If Biden is re-elected in November, he will try to spend $8B of US Taxpayer dollars hiring 50,000 new climate activists to finish off his war on American energy.",risk,-1
Marsha,Blackburn,R,TN,0.615,South,2022,X,31000,5300,,We should be declaring an economic emergency — not a climate emergency.,risk,-1
Marsha,Blackburn,R,TN,0.615,South,2023,X,11000,4400,320400,Joe Biden's veto tells 152 million Americans that funding climate change and ESG are more important to him than their retirement savings.,risk,-1
Martin,Heinrich,D,NM,-0.283,West,2024,X,,,,Constantly seeking climate action,opportunity,1
Martin,Heinrich,D,NM,-0.283,West,2024,X,632,201,84400,"The largest clean energy project in American history is right here in New Mexico. They said it was impossible–but I pushed it through. Now it's boosting our economy, powering millions of homes, and creating careers New Mexicans can build families around. It's a game changer.",opportunity,1
Martin,Heinrich,D,NM,-0.283,West,2023,X,40,11,2309,"One year ago, we made the largest climate investment in our history. But the Inflation Reduction Act is more than climate action.  It’s hundreds saved each year in energy costs.  It’s 100,000 green jobs.  And it’s lower prescription drug costs for millions of seniors.",opportunity,1
Mazie,Hirono,D,HI,-0.514,West,2023,X,140,24,6643,The effects of climate change are felt across the world and it's all of our responsibility to protect our planet. I've joined my colleagues in reintroducing the Green New Deal to tackle the climate crisis and I'll continue advocating for our planet this #EarthDay & every day.,opportunity,1
Mazie,Hirono,D,HI,-0.514,West,2024,X,57,30,3908,"Project 2025 aims for NOAA to be, “broken up and sized down,"" claiming NOAA is ""one of the main drivers of the climate change alarm industry.” This anti-science, climate-change-denial agenda that backs Trump puts the lives and safety of millions at risk.",opportunity,1
Mazie,Hirono,D,HI,-0.514,West,2017,X,290,175,,"Climate change isn't a religion that you can choose to believe in. The facts and science are irrefutable. But today, we heard from yet another Trump ""science"" nominee who won't even admit that it's real. #ActOnClimate",opportunity,1
Michael,Bennet,D,CO,-0.232,West,2024,X,32,9,3960,Colorado and the West are on the front lines of climate change. That's why I'm grateful for the work of companies like to innovate cutting-edge solutions in Colorado to cut harmful emissions. I was glad to learn more about their critical work last week.,opportunity,1
Michael,Bennet,D,CO,-0.232,West,2024,X,54,13,6900,"Colorado is making progress toward achieving our greenhouse gas pollution reduction goals. It’s great to see our state continue to lead the way, but there is still much more work to do to close the gap. We must continue working together to reduce these harmful emissions.",opportunity,1
Michael,Bennet,D,CO,-0.232,West,2024,X,,,,"This rule from is critical to cut harmful methane pollution, protect clean air, and reduce waste of valuable energy delivering on this key Inflation Reduction Act directive to help protect communities in every corner of our country.resources. I’m glad to see ",opportunity,1
Michael,Bennet,D,CO,-0.232,West,2024,X,49,13,3900,Colorado continues to lead the clean energy transition and our rural communities are central to this effort.,opportunity,1
Mitch,McConnell,R,KY,0.404,South,2024,X,64,37,44300,POTUS deference to climate extremists continues to sell out American consumers and U.S. allies. Greater reliance on dirty energy from Russia or Iran is never in the national interest.,risk,-1
Mitch,McConnell,R,KY,0.404,South,2024,X,158,45,21100,"climate agenda puts activists ahead of American workers: Freezing new export permits, micromanaging home appliances, and now trying to rig the auto market for expensive EVs. Democrats are willing to trade working families’ livelihoods for kudos from their radical base.",risk,-1
Mitch,McConnell,R,KY,0.404,South,2019,X,2300,1000,,One recent estimate says that Democrats’ “Green New Deal” would cost taxpayers $93 trillion. That’s more than the combined GDP of the entire world,risk,-1
Mike,Crapo,R,ID,0.512,West,2024,X,17,4,1428, We must continue to push back on the Biden Administration’s attempts to use any means necessary to push its radical climate agenda.,risk,-1
Mike,Crapo,R,ID,0.512,West,2024,X,20,0,1403,The Biden Administration continues to push its climate agenda at the expense of all who use America’s highways.,risk,-1
Mike,Crapo,R,ID,0.512,West,2024,X,12,1,862,Investment in clean energy innovation must responsibly use taxpayer dollars to promote free market values and principles,opportunity,1
Mike,Lee,R,UT,0.538,West,2024,X,3900,1500,351500,"Is China using a disinformation campaign to make Americans worry about climate change in order to make America more dependent on Chinese technology, batteries, and natural resources?",risk,-1
Mike,Lee,R,UT,0.538,West,2024,X,1500,169,37400,Which of its obvious failures will Secret Service try to blame on climate change?,risk,-1
Mike,Lee,R,UT,0.538,West,2024,X,181,28,13500,Climate-change enthusiasts kill joy. Always.,risk,-1
Patty,Murray,D,WA,-0.352,West,2024,X,247,74,19100,Climate change is an urgent threat and it cannot be ignored. I'm working to make sure we reduce emissions and invest in protecting our planet for future generations every chance we get.,opportunity,1
Patty,Murray,D,WA,-0.352,West,2024,X,401,229,26600,"Climate change is real, it's urgent, and it's up to us to stop it from getting worse. Democrats passed the most meaningful climate action legislation in history, and we're ready to do more. RT if you're with us.",opportunity,1
Patty,Murray,D,WA,-0.352,West,2024,X,67,26,3562,"Climate change is already a threat—we can see that in the severe weather patterns, extreme heat, & so much more. Democrats fought to pass historic action on climate and I will keep fighting to make sure we're building a future that takes urgent action to protect our planet.",opportunity,1
Rand,Paul,R,KY,0.891,South,2024,X,482,99,89500,"Climate exaggerations ignore that life on the planet will continue to get better. Climate change is a real challenge, but it is not the end-of-the-world. We should fix it. Smartly.",risk,-1
Rand,Paul,R,KY,0.891,South,2021,X,599,239,,Nearly half a million dollars to create a climate change video game. This game’s intention? To spread alarmism and irrational fear among school children in a fun and interesting way.,risk,-1
