first,last,party,state,ideology_score,year,source,likes,shares,views,content,independent_label,Sentiment,Score,labels_match,emotion,confidence
Chris,Coons,D,DE,-0.233,2024.0,X,56,12.0,8227.0,"Bill Nye knows science, and so does Kamala Harris. Climate change is one of the biggest challenges we face, and we need a leader who’s prepared to act.",opportunity,neutral,0.7840588688850403,0,neutral,0.4235495924949646
Chris,Murphy,D,CT,-0.315,2020.0,X,49000,10000.0,,My 11 year just nearly had a heart attack when he saw the exit polls in Iowa saying health care was the number one issue. “Not climate change?” he moans. “It’s like the the house is on fire and all people care about is doing renovations.”,opportunity,neutral,0.5443812012672424,0,neutral,0.572806715965271
Chris,Murphy,D,CT,-0.315,2021.0,X,34000,3800.0,,"My kids don’t understand why I work on anything other than climate change. Why does anything else matter if you don’t fix this, they wonder.",opportunity,risk,0.5314943790435791,0,neutral,0.3487599790096283
Chris,Murphy,D,CT,-0.315,2024.0,X,224,38.0,21300.0,"Climate change really disrupts the northeastern winter economy. On my walk today I met Chris who runs a snow plow repair business. But with no snow, there are few repairs. But he’s a third generation entrepreneur in Franklin, so he adapts - he customizes and rehabs vintage jeeps.",opportunity,risk,0.4559279680252075,0,neutral,0.6009292602539062
Chuck,Grassley,R,IA,0.341,2021.0,X,379,135.0,,Pres Biden promised 2fight climate change w “good paying jobs that can’t be outsourced” but no mention of American biofuels? US leads world on low-carbon biofuels supporting rural jobs +green revenue for farmers His program to hv all cars electric will cut 43k ethanol jobs in IA,neutral,opportunity,0.8641902804374695,0,neutral,0.7680140137672424
Chuck,Grassley,R,IA,0.341,2024.0,X,58,8.0,12400.0,Natl debt is UP inflation is UP interest rates r UP Govt must get back2basics &wrk on solutions that'll lead us out of fiscal crisis A good start wld b Budget Cmte working on fiscal policy &environment cmte dealing w climate change Dem-led Budget Cmte had 13th hrg on climate 2day,neutral,risk,0.5329364538192749,0,neutral,0.9036325216293335
Chuck,Grassley,R,IA,0.341,2024.0,X,208,40.0,29800.0,Thx to my friend Terry Branstad for testifying before Senate Budget Cmte where I’m top Republican. At 2days hearing Branstad brought reality to the debate on climate change,neutral,neutral,0.8264346718788147,1,gratitude,0.8914142847061157
Cindy,Hyde-Smith,R,MS,0.45,2024.0,X,12,6.0,1131.0,"When Dems forced their climate change bill through, I said then that hard-working, middle-class families would end up paying the price for the tax increases on energy producers.",risk,risk,0.525233268737793,1,neutral,0.8573305010795593
Cindy,Hyde-Smith,R,MS,0.45,2024.0,X,6,5.0,736.0,"The Biden admin just can't get enough of extreme regulations, working to appease extreme climate activists.",neutral,neutral,0.4635428488254547,1,neutral,0.8816743493080139
Cindy,Hyde-Smith,R,MS,0.45,2023.0,X,12,2.0,1314.0,"The demand by climate activists for a carbon tax is just one more weapon against American workers and industries. Taxes are regressive and stifle growth and innovation. A carbon tax would be no different, and we stress that fact with this resolution",risk,risk,0.6333106160163879,1,neutral,0.3357023000717163
Cory,Booker,D,NJ,-0.572,2024.0,X,93,26.0,8843.0,"The Biden-Harris administration has made unprecedented advancements in combatting climate change and creating a clean energy economy – creating 400,000 clean energy jobs in just four years.",opportunity,opportunity,0.9556831121444702,1,neutral,0.3703434467315674
Cory,Booker,D,NJ,-0.572,2023.0,X,416,99.0,44300.0,The effects of climate change knows no borders and threatens us all. As vividly demonstrated this week by the hazardous wildfire smoke that’s been affecting the northeastern US - the severe patterns within this global crisis are growing.,opportunity,risk,0.9593437314033508,0,fear,0.3820230960845947
Cory,Booker,D,NJ,-0.572,2019.0,X,4600,898.0,,The first question I was asked in Iowa was about #GreenNewDeal. The hard truth is climate change has imperiled our planet—it’s going to take bold action now to save it including dramatic investment in green energy that will create the jobs of the future. We can do this.,opportunity,opportunity,0.9407668113708496,1,optimism,0.4446460008621216
Deb,Fischer,R,NE,0.464,2024.0,X,66,27.0,4153.0,"The Biden-Harris administration’s progressive policies are putting broadband buildout on the back burner, prioritizing DEI and climate activism over infrastructure. Senator Thune and I sent “Broadband Czar” Harris a letter outlining our concerns.",neutral,neutral,0.7993471622467041,1,neutral,0.7961567640304565
Deb,Fischer,R,NE,0.464,2024.0,X,9,3.0,1244.0,"The climate party talks a big game about the future of our planet, but what about our present? Farm Bill negotiations continue month after month because the Democrats want to neglect producers’ needs in favor of activist programs.",neutral,neutral,0.6112529635429382,1,neutral,0.4589485228061676
Deb,Fischer,R,NE,0.464,2024.0,X,10,2.0,1203.0,"USDA has no problem searching high and low to justify $3.1 billion in climate funding—but when it comes to funding critically important reports for producers, the agency somehow runs out of resources.",neutral,neutral,0.6005925536155701,1,neutral,0.5883124470710754
Dick,Durbin,D,IL,-0.37,2024.0,X,33,10.0,17300.0,"Great to join in the unveiling of Chicago's ’s Institute for Climate and Sustainable Growth today. Addressing the climate crisis means inspiring young leaders to break down the siloes of science and policy, and this program will do just that.",opportunity,opportunity,0.8542388081550598,1,admiration,0.8047527074813843
Dick,Durbin,D,IL,-0.37,2021.0,X,38,10.0,,"Climate action is an opportunity for a cleaner future. It’s also an unprecedented opportunity to invest in a more equitable, sustainable economy for working people in Illinois and around the country. We’re going to get it done.",opportunity,opportunity,0.97569078207016,1,optimism,0.6369004249572754
Dick,Durbin,D,IL,-0.37,2024.0,X,70,28.0,6553.0,"I have long supported efforts to fight the climate crisis, including creation of a Climate Corps, modeled after FDR's Civilian Conservation Corps to improve America’s public lands, forests, & parks. Glad to see POTUS announce that Americans can now apply:",opportunity,opportunity,0.8393670320510864,1,joy,0.49906501173973083
Gary,Peters,D,MI,-0.233,2017.0,X,119,48.0,,"America should be global leader in tackling climate change for good of our environment, our economy & our national security #ParisAgreement",opportunity,neutral,0.7638992071151733,0,approval,0.41014721989631653
Gary,Peters,D,MI,-0.233,2019.0,X,1.1k,243.0,,"While we didn’t get into time travel specifics, had a great conversation with Chris Evans on the importance of bipartisanship, protecting net neutrality and addressing climate change.",opportunity,neutral,0.8075128793716431,0,admiration,0.4454417824745178
Gary,Peters,D,MI,-0.233,2019.0,X,136,49.0,,"Two years ago President Trump withdrew the US from the Paris Agreement. Since then, climate change has continued to warm the Great Lakes faster than other regions. This will cause more flood damage more days with extreme heat harm to our fishing, tourism & ag industries",opportunity,risk,0.9782248735427856,0,neutral,0.5529598593711853
Jack,Reed,D,RI,-0.394,2024.0,X,11,2.0,1018.0,"Coastal communities are on the front lines of climate change. This week, I asked Admin Criswell about surging federal funding to RI to deal with increasing impacts of storms, flooding, & severe weather events.",opportunity,risk,0.963413953781128,0,neutral,0.9125481247901917
Jack,Reed,D,RI,-0.394,2024.0,X,20,6.0,2229.0,Joined a timely discussion on the health effects of climate change w/ and researchers & scientists from across RI. I’ll continue supporting their work to ensure we are best positioned to keep our communities safe & healthy.,opportunity,neutral,0.7940162420272827,0,approval,0.5053985118865967
Jack,Reed,D,RI,-0.394,2024.0,X,88,30.0,,"Climate change impacts us all – especially in the Ocean State. Great to meet with a dedicated group of RIers from taking part in Hill Day to advocate for climate action to protect public health, the environment, & our economy.",opportunity,neutral,0.7985467910766602,0,admiration,0.7636141180992126
James,Lankford,R,OK,0.567,2024.0,X,31,8.0,3061.0,"The Biden Admin’s climate overreach is out of control—going after your stove, car, dishwasher & more. I voted to block a rule controlling how to heat your home. With prices already sky high, Oklahomans don't want to be spending their paychecks on a brand new “green” furnace.",risk,neutral,0.7325122356414795,0,disapproval,0.5370956659317017
James,Lankford,R,OK,0.567,2024.0,X,55,18.0,13200.0,The Biden Admin’s decision to pause natural gas exports is a win for climate activists and puts American families last. & I are pushing back,risk,neutral,0.7825751900672913,0,neutral,0.6470860242843628
James,Lankford,R,OK,0.567,2022.0,https://www.lankford.senate.gov/news/press-releases/lankford-moves-to-stop-the-flawed-social-cost-of-carbon-from-driving-energy-regulations/,,,,"Oklahomans want clean air, land, and water. But the ‘social cost of carbon’ was created without transparency for the public or the industries it impacts. It has no basis in reality",neutral,neutral,0.9007945656776428,1,neutral,0.4912116527557373
Jeff,Merkley,D,OR,-0.446,2019.0,X,414,93.0,,"If your Senator, if your Representative, if your local elected officials aren't talking about climate change and the crisis we all face—change  the  conversation . Getting along to get along is no longer an option.",opportunity,risk,0.7180643677711487,0,neutral,0.6669856905937195
Jeff,Merkley,D,OR,-0.446,2024.0,X,98,25.0,7875.0,"As we work together to address climate chaos, we must do all we can to make sure that folks in Oregon and across our country have the resources they need to deal with its impacts—including deadly heat—that we’re already feeling.",opportunity,risk,0.9202288389205932,0,approval,0.36558112502098083
Jeff,Merkley,D,OR,-0.446,2024.0,X,120,39.0,16200.0,"We can build our clean energy future right here in America, creating good-paying jobs and protecting our planet. This is why I wrote my Good Jobs for 21st Century Energy Act and fought to get the structure of my bill into the Inflation Reduction Act. Progress for the people!",opportunity,opportunity,0.6529752016067505,1,approval,0.4807424545288086
Jeff,Merkley,D,OR,-0.446,2023.0,X,124,76.0,7735.0,"Bottom Line: “It takes as little as 0.2 percent of gas to leak to make natural gas as big a driver of climate change as coal, the study found.” Every fossil gas system leaks more than .2%. Fossil methane gas is a climate killer, not a climate solution.",opportunity,risk,0.6205114126205444,0,neutral,0.8827501535415649
Joni,Ernst,R,IA,0.535,2024.0,X,36,11.0,2556.0,"Instead of reducing the $1.68 trillion regulatory burden, SBAgov is expanding a program providing loans to ""reduce climate change."" This admin talks about creating an opportunity economy, but the only opportunities are for radical climate groups and the real polluters in China.",risk,opportunity,0.9509073495864868,0,neutral,0.899318277835846
Joni,Ernst,R,IA,0.535,2023.0,X,10,3.0,1732.0,Biden believes climate change is the “ultimate threat to humanity.” He should take the threats posed to Americans by Iran-backed terrorists and Chinese aggression as seriously.,risk,risk,0.8577094674110413,1,neutral,0.6763701438903809
Joni,Ernst,R,IA,0.535,2024.0,X,408,36.0,23300.0,"Goodbye Green New Deal nonsense, hello affordable gas!",risk,opportunity,0.5675318241119385,0,neutral,0.3604794442653656
John,Boozman,R,AR,0.405,2024.0,X,7,3.0,1060.0,"Amid another backdoor attempt to enforce radical climate policies that can't pass Congress because of their clearly on a CRA to block it.harmful consequences for our economy and American workers, I've joined",risk,risk,0.8319634795188904,1,neutral,0.34131184220314026
John,Boozman,R,AR,0.405,2024.0,X,4,,1477.0,"The Biden administration continues to use the federal rulemaking process to impose its extreme climate agenda on American families, this time through fuel economy standards targeting gas-powered cars and trucks. My colleagues and I are demanding they abandon this radical policy.",risk,neutral,0.6504172086715698,0,neutral,0.8428031206130981
John,Boozman,R,AR,0.405,2024.0,X,7,4.0,2010.0,"The Biden administration has once again rejected common sense in pursuit of its extreme climate agenda. With this latest overburdensome and unattainable air quality regulation, the EPA is undermining our economy and injecting key industries with more disruption and uncertainty.",risk,risk,0.9594611525535583,1,disappointment,0.530306339263916
John,Cornyn,R,TX,0.47,2023.0,X,136,34.0,29100.0,"That’s Smoke, Not Climate Change",risk,neutral,0.6846452355384827,0,neutral,0.8945661783218384
John,Cornyn,R,TX,0.47,2024.0,X,4,3.0,2025.0,"More inflationary spending: Biden is spending $1 trillion to fight climate change. Voters aren’t moved, but the campaign is hoping it will get young people excited.",risk,opportunity,0.8734367489814758,0,optimism,0.6685445308685303
John,Cornyn,R,TX,0.47,2018.0,X,271,97.0,,"Regarding climate change, I can think of a number of more urgent matters presenting enormous dangers to America",risk,risk,0.9334491491317748,1,neutral,0.31192395091056824
John,Fetterman,D,PA,-0.342,2024.0,X,197,34.0,20900.0,"Farmers can, and should, be part of the solution to fighting climate change. Protecting the climate guardrails in the IRA lets them do that.",opportunity,neutral,0.5103878974914551,0,neutral,0.6684298515319824
John,Fetterman,D,PA,-0.342,2023.0,X,678,123.0,18800.0,It could not be CLEARER —climate change is an existential threat. We need to act now to mitigate the worst of climate change before it’s too late.,opportunity,risk,0.9130956530570984,0,neutral,0.25438734889030457
John,Fetterman,D,PA,-0.342,2021.0,X,531,55.0,15400.0,"12 years later, my message is the same: it's time for bold action. Climate change is an existential threat. We need to transition to clean energy as quickly as possible. We must uphold the union way of life for workers across PA and create thousands of good-paying union jobs.",opportunity,neutral,0.6982712745666504,0,approval,0.3604610562324524
John,Hoeven,R,ND,0.397,2024.0,X,88,34.0,27200.0,Consumers are paying more for energy today because the Biden-Harris administration is doubling down on its failed Green New Deal policies. We must be producing more energy and use the abundance of resources that we have here in the U.S. to get our economy back on track.,risk,opportunity,0.5827465057373047,0,neutral,0.4615336060523987
John,Hoeven,R,ND,0.397,2022.0,X,9,6.0,,"While our adversaries are trying to build weapon systems that can defeat ours, POTUS wants to put Green New Deal mandates on our military & defense industry that will drive up costs. Our men and women in uniform need to have the most effective defense systems available.",risk,neutral,0.6031347513198853,0,neutral,0.6486673951148987
John,Hoeven,R,ND,0.397,2022.0,X,136,59.0,,"Spoke out against the Democrats’ tax and spend bill on the Senate floor this week. This bill is full of Green New Deal-style policies and won’t actually reduce inflation. Instead it will reduce economic output, reduce average wages, and eliminate full-time jobs.",neutral,neutral,0.7262869477272034,1,neutral,0.6689081788063049
John,Kennedy,R,LA,0.56,2024.0,X,20000,7500.0,1300000.0,"Democrats want to spend $50 TRILLION to become carbon neutral & held a hearing to tell us why. Dem witness: Carbon dioxide is ""a huge part of our atmosphere."" Me: ""It’s actually a very small part of our atmosphere."" (0.035%) Dem witness: ""Well, okay. But, yeah. I don’t know.""",risk,neutral,0.599089503288269,0,neutral,0.712548017501831
John,Kennedy,R,LA,0.56,2023.0,X,10000,3100.0,170700.0,Seems like the people with the most radical climate agendas are the ones who can’t give me straight answers on how much it will actually cost to go carbon neutral. No fair-minded policymaker wants to embark on something that even these “experts” can’t explain or guarantee.,risk,neutral,0.8154890537261963,0,neutral,0.554512083530426
John,Kennedy,R,LA,0.56,2024.0,X,2200,570.0,,How much do climate alarmists think it will cost the government to basically bribe every American to drive an electric car?,neutral,neutral,0.3889307379722595,1,curiosity,0.6255229711532593
John,Hickenlooper,D,CO,-0.246,2024.0,X,29,7.0,2850.0,"Our Inflation Reduction Act is helping our farmers and rural small businesses get more climate resilient, so they can keep feeding and uplifting America",opportunity,opportunity,0.8935078382492065,1,approval,0.4305940568447113
John,Hickenlooper,D,CO,-0.246,2022.0,X,1900,543.0,,We're much closer to a climate deal than people realize. Let's not throw in the towel just yet. Fighting climate change is more important than any August recess.,opportunity,neutral,0.7730333209037781,0,realization,0.5685518383979797
John,Hickenlooper,D,CO,-0.246,2024.0,X,55,21.0,6922.0,Our Inflation Reduction Act is tackling climate change and getting us closer to a clean economy. But we need to update our transmission infrastructure to finish the job. Harris gets it. Trump still thinks climate change is a hoax.,opportunity,neutral,0.7134101986885071,0,neutral,0.5960495471954346
Jon,Ossoff,D,GA,-0.422,2020.0,X,177,94.0,,Tackling climate change is about our health and our prosperity — and we can't have one without the other.,opportunity,neutral,0.6753594279289246,0,neutral,0.3665211498737335
Jon,Ossoff,D,GA,-0.422,2020.0,X,122,36.0,,"My opponent says “nobody really knows” if humans contribute to climate change.  He dismisses NASA, the military, and 99% of scientists.  He listens to oil & gas lobbyists.  I’ll trust scientists over corporate lobbyists, and vote for massive clean energy investment.",opportunity,neutral,0.656972348690033,0,approval,0.5590450167655945
Jon,Ossoff,D,GA,-0.422,2020.0,X,3600,991.0,,Climate change. Immigration. Criminal justice reform. It’s all on the ballot January 5th.,neutral,neutral,0.7786932587623596,1,neutral,0.8104678392410278
Jon,Ossoff,D,GA,-0.422,2017.0,X,7300,4500.0,,"If we walk away from our #ParisAgreement commitments to reduce carbon emissions & help fight climate change, history will condemn us for it.",opportunity,neutral,0.6940582990646362,0,neutral,0.4047987163066864
Josh,Hawley,R,MO,0.803,2023.0,X,241,51.0,98500.0,These companies are making billions in profits - and spending billions on idiotic “climate change” initiatives that make China rich and kill American jobs. Spend that money on American workers,risk,neutral,0.3572384119033813,0,neutral,0.4243422746658325
Josh,Hawley,R,MO,0.803,2023.0,X,915,266.0,44800.0,The biggest winner from Biden’s huge climate change deal - the cornerstone of “Bidenomics” - China,risk,opportunity,0.6564844846725464,0,neutral,0.7623319625854492
Josh,Hawley,R,MO,0.803,2024.0,X,9000,2100.0,599500.0,The Biden Administration wants to turn Missouri into a “national transmission corridor” for green energy - by taking farmers’ land. No way. And I won’t vote for any Energy Dept nominee or bureaucrat unless they pledge to fight it,risk,opportunity,0.5080435276031494,0,disapproval,0.5651528835296631
Katie,Britt,R,AL,0.565,2024.0,X,61,14.0,27300.0,"Left-wing activists keep trying to make American energy the bogeyman, but conservatives should stand strong in the truth: American energy is clean, and American energy dominance is essential.",risk,neutral,0.6792407035827637,0,approval,0.527734100818634
Katie,Britt,R,AL,0.565,2024.0,X,110,36.0,7354.0,"After 300,000 encounters in just 1 month, Secretary Mayorkas now blames climate change for what he calls “the displacement of people.” He won’t call it illegal migration. Won’t call it a border crisis. And he won’t acknowledge that this Administration’s policies are fueling it.",risk,risk,0.6525103449821472,1,neutral,0.7307918071746826
Katie,Britt,R,AL,0.565,2024.0,X,8700,823.0,858000.0,"The U.S. must not just be energy independent, but energy dominant.",neutral,neutral,0.8392769694328308,1,neutral,0.8018311262130737
Kevin,Cramer,R,ND,0.392,2024.0,X,17,4.0,2521.0,"Democrats’ partisan Inflation Reduction Act included a nonsensical natural gas tax, and the Biden-Harris finalized the rule to implement it. American oil and gas producers are the cleanest, most efficient in the world, yet this rule penalizes them and saddles consumers with an even higher bill. It makes no sense. Thankfully, change is coming.",risk,neutral,0.6625283360481262,0,disappointment,0.23307448625564575
Kevin,Cramer,R,ND,0.392,2024.0,X,5,4.0,5669.0,"finalized a rule mandating states measure greenhouse gas emissions on highway systems and set declining targets, despite lacking authority from Congress.",opportunity,neutral,0.9096590876579284,0,neutral,0.6254873871803284
Kevin,Cramer,R,ND,0.392,2024.0,X,1,1.0,227.0,This endorsement reflects our shared commitment to promoting energy independence and supporting policies that strengthen our economy while protecting our environment.,opportunity,neutral,0.5986315608024597,0,approval,0.6918435096740723
Kirsten,Gillibrand,D,NY,-0.309,2024.0,X,9,3.0,2252.0,"Happy #EarthDay! I'm so grateful to be from Upstate New York, home to some of the most picturesque natural landscapes in the country. We must continue combating the threat of climate change and protecting our environment for generations to come. We only get one planet!",opportunity,opportunity,0.6092220544815063,1,gratitude,0.8642393350601196
Kirsten,Gillibrand,D,NY,-0.309,2018.0,X,1600,420.0,,"To take on the impacts of climate change, we need to take bold action. We need to rein in corporate polluters and Big Oil. We need to invest in technological innovations and renewable energy. We need to finally pass the reforms that will protect our planet.",opportunity,neutral,0.6259320974349976,0,desire,0.2999376952648163
Kirsten,Gillibrand,D,NY,-0.309,2024.0,X,107,24.0,22000.0,"From historic flooding to weeks of wildfire smoke, New Yorkers are already dealing with the effects of climate change. I helped pass the biggest climate change law that the Senate has ever passed — but there's still so much work to do. I'll keep fighting for clean air, clean water, and a safe, livable future for all New Yorkers.",opportunity,neutral,0.4639469385147095,0,desire,0.5568132996559143
Lindsey,Graham,R,SC,0.417,2019.0,X,13000,3100.0,,"The Green New Deal will destroy the American economy. Any piece of legislation that destroys the economy cannot save the environment. Climate change is real, but the Green New Deal is a disaster.",risk,risk,0.8359168767929077,1,disappointment,0.6203968524932861
Lindsey,Graham,R,SC,0.417,2022.0,X,1100,285.0,,I can’t believe that Manchin is agreeing to a massive tax increase in the name of climate change when our economy is in a recession.,risk,risk,0.8668228387832642,1,surprise,0.6545819640159607
Lindsey,Graham,R,SC,0.417,2024.0,X,385,85.0,44900.0,"Between the Biden-Harris Border Crisis, Medicare For All, the Green New Deal, and more… Kamala Harris’ policies are -sh*t crazy.",neutral,neutral,0.6880155205726624,1,neutral,0.6800090074539185
Lisa,Murkowski,R,AK,0.208,2021.0,X,242,25.0,,"I attended COP26 because I recognize that climate change is real, we need to act, & we need to work together—across the aisle & with the rest of the world—to find reasonable ways to reduce emissions without harming our economy.",opportunity,neutral,0.8087773323059082,0,approval,0.6090702414512634
Lisa,Murkowski,R,AK,0.208,2024.0,X,42,9.0,8770.0,"Rural Alaska’s communities are on the front-line of climate change, facing devastating impacts from extreme weather events.",opportunity,risk,0.980676770210266,0,neutral,0.6923597455024719
Lisa,Murkowski,R,AK,0.208,2024.0,X,55,14.0,6337.0,"The selection of more than 40 climate resilience projects across tribal communities in Alaska is a significant step forward in addressing the growing threats and impacts of climate change. By incorporating Indigenous knowledge and prioritizing community driven initiatives, we can ensure these resources effectively meet the unique needs of each Tribe. ",opportunity,opportunity,0.8725662231445312,1,approval,0.4807220697402954
Maggie,Hassan,D,NH,-0.236,2022.0,X,46,20.0,,"As climate change threatens NH communities, we must act now to protect future generations. I'm grateful to have the support of together, we can end tax breaks for Big Oil, address the climate crisis, and build a clean energy future for NH and the country.",opportunity,opportunity,0.6700318455696106,1,gratitude,0.9224722981452942
Maggie,Hassan,D,NH,-0.236,2024.0,X,19,4.0,1274.0,"The bipartisan infrastructure law is continuing to deliver for New Hampshire – Derry Cooperative School District is using federal funding to get new clean school buses, which are good for student health, lower costs for the community, and help us combat climate change.",opportunity,opportunity,0.96938556432724,1,neutral,0.513989269733429
Maggie,Hassan,D,NH,-0.236,2023.0,X,19,8.0,2428.0,"Climate change poses a real threat to our Seacoast communities, including the shoreline at Wagon Hill Farm in Durham. I worked to increase funding in the bipartisan infrastructure law for coastal resilience projects — helping to preserve these areas for future generations.",opportunity,opportunity,0.4237763583660126,1,neutral,0.3048427999019623
Maria,Cantwell,D,WA,-0.292,2023.0,X,10,8.0,3797.0,"Artificial intelligence, and things like quantum computing are game changers. They have the potential to help us solve pressing global challenges like climate change, hunger, poverty, disease, and are pivotal to our competitiveness for the future.",opportunity,opportunity,0.9646549820899964,1,approval,0.4144800901412964
Maria,Cantwell,D,WA,-0.292,2023.0,X,40,17.0,4835.0,"Mounting climate impacts have increased the need to protect America’s last remaining wild forestlands, which reduce wildland fire risk and store huge amounts of carbon. (1/3)",opportunity,risk,0.8965107202529907,0,neutral,0.5459190607070923
Maria,Cantwell,D,WA,-0.292,2017.0,X,32,15.0,,#Climatechange is not a hypothesis. It is here. It is happening. And now it’s up to us,opportunity,neutral,0.6926435828208923,0,neutral,0.6675423383712769
Mark,Kelly,D,AZ,-0.218,2024.0,X,149,48.0,9992.0,"As a changing climate stresses our infrastructure, I’m ensuring Arizona is well prepared to handle it. Thanks to the Bipartisan Infrastructure Law, we’re strengthening grid reliability and resiliency in Arizona.",opportunity,opportunity,0.3969207406044006,1,gratitude,0.9802998304367065
Mark,Kelly,D,AZ,-0.218,2024.0,X,275,88.0,8076.0,"For Arizonans, climate change isn’t just a term — it’s an everyday reality. As we confront a historic drought and record heat waves, it’s important we take action to protect our planet for our kids and grandkids.",opportunity,risk,0.7239401936531067,0,caring,0.32047733664512634
Mark,Kelly,D,AZ,-0.218,2022.0,X,531,131.0,,"The impacts of climate change are being felt everywhere. It's especially true in Arizona, as we face a historic drought and record high temperatures. We need to take action to protect our planet for future generations. Let's follow the science, data, and facts.",opportunity,risk,0.9246810078620912,0,approval,0.4626215696334839
Markwayne,Mullin,R,OK,0.542,2024.0,X,44,7.0,3071.0,Liberals would rather spin about ‘climate change’ and rely on hostile nations for power than double down on clean American energy production at home.,risk,neutral,0.7696406245231628,0,neutral,0.9021416902542114
Markwayne,Mullin,R,OK,0.542,2024.0,X,170,59.0,20200.0,"The United States is home to the strongest military in the world. Why are we focusing on climate change when China is running circles around our Navy? During a SASC hearing this week, I urged U.S. Navy Sec. Del Toro to stop trying to put climate hysteria over our military readiness.",risk,neutral,0.5171869993209839,0,neutral,0.35350099205970764
Markwayne,Mullin,R,OK,0.542,2024.0,X,58,22.0,9559.0,"Democrats’ climate hysteria is getting ahead of operational reality. This morning, Biden's Environmental Protection Agency (EPA) announced new regulations that will shutter coal and gas power plants across the country. The consequences of this decision are dire, as these new regulations will cripple our already strained electric grid and send electricity prices skyrocketing across the country for American families and businesses in need. Forcing cost and reliability to take a back seat to emissions considerations is a dangerous approach, and I look forward to joining my Republican colleagues in challenging this decision and fighting for realistic solutions for all Americans.",risk,risk,0.8780893683433533,1,neutral,0.2190147340297699
